hr,alt_name,ra_ysb,dec_ysb,vmag,bv_color,parallax_ysb,ra_simbad,dec_simbad,parallax_simbad,iau_name,star_size,distance,x_coordinate,y_coordinate,z_coordinate,rgb_color,origin,note,source,constellation_common_name,constellation_alt_name,asterism
HR1,,1.2912,45.2292,6.7,0.07,,0.022526256970555818,0.7893955045202391,6.3137,,5,158.3857326132062,111.51874718544357,2.5125249492429638,112.44241432836009,"(0, 2.220446049250313e-16, 1.0)",,,,,,
HR10,,1.8258,-17.3864,6.19,0.14,,0.03187159104071611,-0.28995167876382166,9.7179,,5,102.90289054219534,98.55740796693557,3.142245435353586,-29.420545718970928,"(0, 2.220446049250313e-16, 1.0)",,,,,,
HR100,Kap Phe,6.5508,-43.68,3.94,0.17,0.072,0.11433370812858185,-0.7386262950064691,41.7228,,20,23.967710700144767,17.60588080812446,2.0217629523877974,-16.136808598366066,"(0, 2.220446049250313e-16, 1.0)",,,,Phoenix,Phe,
HR1000,60    Ari,50.1067,25.6628,6.12,1.24,,0.874523982138845,0.44789959829153614,9.6938,,5,103.15872000660217,59.63578422392493,71.34012675229165,44.675284759752444,"(1.0, 0.9146388331716299, 0)",,,,Aries,Ari,
HR1001,,50.4692,49.0708,5.93,0.43,0.015,0.880848254829598,0.8564488582262095,22.7733,,10,43.91107129840647,18.310253694402718,22.18755544074621,33.175731729445864,"(0, 0.9694779289993452, 1.0)",,,,,,
HR1002,32    Per,50.3604,43.3294,4.95,0.04,0.026,0.8789593566660729,0.7562450713851718,20.9522,,15,47.72768492091522,22.148425160552865,26.73545126683841,32.75049337607077,"(0, 2.220446049250313e-16, 1.0)",,,,Perseus,Per,
HR1003,16Tau4Eri,49.8792,-21.7578,3.69,1.62,-0.013,0.8705557335860623,-0.3532918964544046,10.6153,,20,94.20364944937967,56.955779822271616,67.58727542563763,-32.59335691452368,"(1.0, 0.15188381672690468, 0)",,,,Eridanus,Eri,
HR1004,,49.895,-24.1231,5.61,1.66,,0.8708397899333473,-0.4167339806749317,3.7583,,10,266.0777479179416,156.7337487080416,186.09727796615252,-107.70191774799895,"(1.0, 0.08463640279679395, 0)",,,,,,
HR1005,61Tau1Ari,50.3067,21.1469,5.28,-0.07,,0.8780187598170613,0.36908593540523926,6.1786,,10,161.84896254815007,96.40805506411151,116.15198314869154,58.389129187664764,"(0, 2.220446049250313e-16, 1.0)",,,,Aries,Ari,
HR1006,Zet1Ret,49.4425,-62.5753,5.54,0.64,0.097,0.8629317577861911,-1.072062905770038,83.024,,10,12.044709963384081,3.745973087106122,4.377044932551696,-10.57753285937434,"(1.0, 1.0, 0.8940170718239832)",,,,Reticulum,Ret,
HR1007,97Kap2Cet,50.2783,3.6756,5.69,0.97,,0.8775226903009491,0.06415171629161179,8.821,,10,113.36583153837435,72.29837802253488,87.01688294490148,7.267625351587121,"(1.0, 0.8224630841659064, 0)",,,,Cetus,Cet,
HR1008,,49.9821,-43.0697,4.27,0.71,0.156,0.8723483514089403,-0.7492736527550473,165.5242,,15,6.041412675608763,2.844393952527426,3.387640228060412,-4.114849188616569,"(1.0, 1.0, 0.5846609217472404)",,,,,,
HR1009,,51.1688,64.5861,5.23,2.08,0.009,0.893067286275538,1.1272382530851701,1.6385,,10,610.3143118706133,164.23054258487946,204.0353404316442,551.2544494254169,"(1.0, 0.0, 0)",,,,,,
HR101,10    Cet,6.6558,-0.0497,6.19,0.9,,0.11616730126658391,0.0008644822121830594,7.23,,5,138.31258644536652,137.38033090563098,16.031280447267815,0.11956875581017345,"(1.0, 0.9352598957969087, 0)",,,,Cetus,Cet,
HR1010,Zet2Ret,49.5537,-62.5064,5.24,0.6,0.091,0.8648701951726522,-1.073266444803811,83.0606,,10,12.039402556687527,3.727576717187974,4.372679198461479,-10.579795005896596,"(0.9155706872616828, 1.0, 1.0)",,,,Reticulum,Ret,
HR1011,,50.805,49.2133,5.29,-0.07,,0.8867143124285397,0.8589336108348636,5.6817,,10,176.0036608761462,72.65889983152822,89.10444890455751,133.26053467734747,"(0, 2.220446049250313e-16, 1.0)",,,,,,
HR1012,62    Ari,50.5496,27.6075,5.52,1.1,,0.8822561871657237,0.48184272059212285,4.692,,10,213.12872975277068,120.0051839736029,145.83473704254598,98.76659727469986,"(1.0, 0.634245401700503, 0)",,,,Aries,Ari,
HR1013,,50.1883,-26.6064,6.39,0.54,,0.8759519266025609,-0.4432000447581294,20.1522,,5,49.62237373587002,28.70187847143504,34.43482297446507,-21.279687829256066,"(0.6089174772578823, 1.0, 1.0)",,,,,,
HR1014,,49.4958,-66.9269,6.05,0.13,,0.8638707007312566,-1.1357406867478235,16.6526,,5,60.050682776263166,16.438183429395977,19.244018070858182,-54.45675711907022,"(0, 2.220446049250313e-16, 1.0)",,,,,,
HR1015,63Tau2Ari,50.6883,20.7419,5.09,1.24,0.008,0.8846813149562727,0.36201736607888807,9.7639,,10,102.4180911316175,60.67995257995769,74.1060779072798,36.27255109774565,"(1.0, 0.9146388331716299, 0)",,,,Aries,Ari,
HR1016,,50.35,-23.6353,5.52,0.88,,0.8787736296819838,-0.390340151193919,8.0143,,10,124.77696118188737,73.63064811523574,88.8462516164938,-47.47800831559002,"(1.0, 0.9691529351018999, 0)",,,,,,
HR1017,33Alp Per,51.0808,49.8611,1.79,0.48,0.016,0.8915265513870894,0.8702417475910381,6.44,Mirfak,50,155.27950310559004,62.885108749945815,77.88069894153912,118.70881986863395,"(0.27373884515137525, 1.0, 1.0)",,,,Perseus,Per,
HR1018,,50.5679,-25.5878,6.35,0.01,,0.8825756325549923,-0.4260731837102587,9.0074,,5,111.01982814130604,64.21137259832716,78.08285828872756,-45.88430135706999,"(0, 2.220446049250313e-16, 1.0)",,,,,,
HR1019,,51.1237,33.5358,5.61,-0.03,,0.8922779754080654,0.5853123939291681,8.9395,,10,111.86307959058111,58.52262003319566,72.58945837213795,61.79985479900856,"(0, 2.220446049250313e-16, 1.0)",,,,,,
